program_name, num_helper_functions, num_lemmas, domain, source
BelowZero_variant01.dfy, 0.0, 0.0, floats, Clover
BelowZero.dfy, 1.0, 1.0, floats, HumanEvalX
BinaryAddition.dfy, 8.0, 0.0, binary strings or bitvectors, MIPS
DoAlgebra.dfy, 1.0, 0.0, floats, HumanEvalX
FindMaxWord.dfy, 1.0, 0.0, strings, HumanEvalX
HasCloseElements_variant01.dfy, 0.0, 0.0, floats, Clover
HasCloseElements.dfy, 1.0, 0.0, floats, HumanEvalX
intersperse.dfy, 0.0, 0.0, floats, HumanEvalX
MakePalindrome.dfy, 2.0, 7.0, strings, HumanEvalX
MeanAbsoluteDeviationNonnegative.dfy, 4.0, 3.0, floats, HumanEvalX
RollingMax.dfy, 2.0, 0.0, floats, HumanEvalX
Solve.dfy, 5.0, 0.0, strings, HumanEvalX
UpdateElements.dfy, 0.0, 0.0, floats, Clover
